Id,name,country,group
M111033,Kārlis ŠADURSKIS,Latvia,PPE
M28299,Bogusław SONIK,Poland,PPE
M96764,Hermann WINKLER,Germany,PPE
M185341,Željana ZOVKO,Croatia,PPE
M194658,Anders SELLSTRÖM,Sweden,PPE
M28228,Albert DESS,Germany,PPE
M125030,Annie SCHREIJER-PIERIK,Netherlands,PPE
M4289,Angelika NIEBLER,Germany,PPE
M39726,László TŐKÉS,Hungary,PPE
M96765,Verónica LOPE FONTAGNÉ,Spain,PPE
M38398,Esther de LANGE,Netherlands,PPE
M96761,Axel VOSS,Germany,PPE
M131750,Mihai ŢURCANU,Romania,PPE
M188945,Dennis RADTKE,Germany,PPE
M1928,Werner LANGEN,Germany,PPE
M4246,Othmar KARAS,Austria,PPE
M28224,Markus PIEPER,Germany,PPE
M125016,Claudia SCHMIDT,Austria,PPE
M96763,Pablo ZALBA BIDEGAIN,Spain,PPE
M124729,Renaud MUSELIER,France,PPE
M96791,Elżbieta Katarzyna ŁUKACIJEWSKA,Poland,PPE
M96876,Frank ENGEL,Luxembourg,PPE
M28165,Lambert van NISTELROOIJ,Netherlands,PPE
M4282,Renate SOMMER,Germany,PPE
M23821,József SZÁJER,Hungary,PPE
M125104,Romana TOMC,Slovenia,PPE
M28132,Richard ASHWORTH,United Kingdom,PPE
M96779,Danuta Maria HÜBNER,Poland,PPE
M1922,Thomas MANN,Germany,PPE
M124809,Sven SCHULZE,Germany,PPE
M185340,Ivica TOLIĆ,Croatia,PPE
M2002,José Ignacio SALAFRANCA SÁNCHEZ-NEYRA,Spain,PPE
M189525,Asim ADEMOV,Bulgaria,PPE
M2323,Rainer WIELAND,Germany,PPE
M124896,Michał BONI,Poland,PPE
M96776,Róża THUN UND HOHENSTEIN,Poland,PPE
M28397,Agustín DÍAZ DE MERA GARCÍA CONSUEGRA,Spain,PPE
M124881,Marek PLURA,Poland,PPE
M96762,Joachim ZELLER,Germany,PPE
M124806,David McALLISTER,Germany,PPE
M1185,Viviane REDING,Luxembourg,PPE
M96931,Maurice PONGA,France,PPE
M107041,Heinz K. BECKER,Austria,PPE
M28288,Jan OLBRYCHT,Poland,PPE
M28225,Herbert REUL,Germany,PPE
M28301,Tadeusz ZWIEFKA,Poland,PPE
M96835,Traian UNGUREANU,Romania,PPE
M124802,Siegfried MUREŞAN,Romania,PPE
M124702,Jaromír ŠTĚTINA,Czechia,PPE
M1055,Godelieve QUISTHOUDT-ROWOHL,Germany,PPE
M96756,Sabine VERHEYEN,Germany,PPE
M1204,Alain LAMASSOURE,France,PPE
M96729,Santiago FISAS AYXELÀ,Spain,PPE
M1179,Michèle ALLIOT-MARIE,France,PPE
M28135,György SCHÖPFLIN,Hungary,PPE
M28617,Inese VAIDERE,Latvia,PPE
M129164,Tom VANDENKENDELAERE,Belgium,PPE
M22418,Esther HERRANZ GARCÍA,Spain,PPE
M1038,Karl-Heinz FLORENZ,Germany,PPE
M101580,Constance LE GRIP,France,PPE
M124701,Luděk NIEDERMAYER,Czechia,PPE
M96882,Elisabeth KÖSTINGER,Austria,PPE
M28393,Luis de GRANDES PASCUAL,Spain,PPE
M28451,Lorenzo CESA,Italy,PPE
M96767,Werner KUHN,Germany,PPE
M28390,Pilar del CASTILLO VERA,Spain,PPE
M124893,Bogdan Andrzej ZDROJEWSKI,Poland,PPE
M188906,Francis ZAMMIT DIMECH,Malta,PPE
M190774,Geoffroy DIDIER,France,PPE
M28141,Lívia JÁRÓKA,Hungary,PPE
M190713,Lukas MANDL,Austria,PPE
M96806,Teresa JIMÉNEZ-BECERRIL BARRIO,Spain,PPE
M23894,Anna ZÁBORSKÁ,Slovakia,PPE
M124713,Tomáš ZDECHOVSKÝ,Czechia,PPE
M28223,Andreas SCHWAB,Germany,PPE
M37324,Adina-Ioana VĂLEAN,Romania,PPE
M112611,Petri SARVAMAA,Finland,PPE
M96781,Danuta JAZŁOWIECKA,Poland,PPE
M124808,Norbert LINS,Germany,PPE
M96934,Sandra KALNIETE,Latvia,PPE
